content,score,sentiment
Terima foto yang bukan HD jadi buram gambarnya.,3,Netral
Sy suka merantau,3,Netral
Napa WA aku ini,1,Negatif
"ga jelas!!!! skrg status wa orang-orang ngacak, ga sesuai dengan pembaruan status yang baru",1,Negatif
Knpa Tdak Bisa Update,1,Negatif
kwalitas status vidio jelek,1,Negatif
Saya membuat status tapi tidak terkirim,1,Negatif
"Aplikasi nya buruk,masak iya akun saya keluar sendiri,minta kode verifikasi dan lain"" versi 2 langkah lah, sedang kan saya tidak ada bikin pin WhatsApp,siap itu nunggu lagi ngak ada juga kode verifikasi nya sampe 12 jam",1,Negatif
Setelah di update knp jd ngk bisa liat kapan dan jam brp orng buat status jadi bingung jam dan tanggl nya ngk kliatan,3,Netral
Gak jelas banget tiba tiba keluar sendiri terus muncul akun di banned padahal gak ngapa - ngapain,1,Negatif
"wa nya makin di update makin banyak bug nya anjay uda min gausa di rubah"" lagi sekarang perbaiki bug/error masa ngeliat status temen uda di liat ga ada status nya padahal di wa temen ku belom di hapus status nya",3,Netral
"Saya kecewa dengan whatsapp, padahal whatsapp biasa saja aada yang pakai untuk selingkuh, sekarang malah ada fitur ""kunci chat"" yang mana malah seolah mendukung untuk selingkuh, kalau gitu mending jadi aplikasi micet aja kak, kalau ga jadi yutub biru biar bisa mempersatu bangsa.",1,Negatif
"Buat status wa kok suara nya hilang timbul gitu,apakah bug atau apa WhatsApp??",2,Negatif
tampilan terang (putih polos) terasa tidak nyaman bagi pengguna,1,Negatif
Fitur pesan sementara eror,1,Negatif
Selalu eror WhatsApp nya bisa di buka selalu egak guna,1,Negatif
"Entah kenapa perkembangan aplikasi whatsapp sekarang malah mendukung orang untuk selingkuh , mohon di hapus untuk fitur kunci chat nya!!!",1,Negatif
Wira swasta,2,Negatif
Wa sekarang bikin emosi centang 1 terus,1,Negatif
"Membuat status video slalu buram tidak akurat,tingkat ketololan aplikasi ini kelewatan begok",1,Negatif
"kenapa wa skrg kalau bikin status video atau hasil nya malah blur, dan story juga skrg cuma nama aja gada waktu jam menit nya. tolonglah upgrade lagi yaaa",2,Negatif
"Aplikasi ini tidak bisa dilakukan untuk broadcast jualan ke nomor yg belum kita save dan pasti langsung ke ban karena spam, mohon di perbaiki agar WA bisa dibuat bekerja dan berjualan produk tanpa takut ke ban karna spam",1,Negatif
kocak,1,Negatif
"Excuse me, why do business WhatsApp and regular WhatsApp always have bugs, for example when I want to add a logo sticker the stickers inside don't appear?",3,Netral
"Whatsapp sangat menggangu jalannya permainan, keselnya kalau lagi bermain game online tiba-tiba ada notifikasi chat dari group masuk yang kerap kali memuat data laporan dari Whatsapp dan merusak jalan permainan game, sehingga terjadi crash. seperti prosesor rusak. tolong tambah fitur mode pesawat pada Whatsapp. ketika sedang bermain game bisa mode pesawat. setelah di copot masalah hilang.",1,Negatif
93102 0 /# a,3,Netral
"Aplikasi kalian gak jelas, tolong hapus data2 saya, jgn sampai kalian salah guna kan data saya!!",2,Negatif
Video call di wa kok makan banyak paket data sekarang min?,3,Netral
Afrikan wa,3,Netral
Maen blokir aja sih buat apa ngadain whatsapp kalo tidak bisa di pake min terimakasih,1,Negatif
Kurang bgus,3,Netral
Gua udah jelas jelas gunain wa resmi dari play store dibilang ngk Resmi terus disuruh download ulang pas di download ulang malah sama aja!!,1,Negatif
"Setiap kirim foto atau video di status selalu di kompres, jadinya kualitas foto/video yg awalnya hd jadi buram",3,Netral
Seandainya,1,Negatif
saya sudah menggunakan whatsap resmi. kenapa tidak bisa daftar.ada pemberitahuan harus menggunakan whatsap resmi?,1,Negatif
sapar,3,Netral
Lebih keren yg dulu,3,Netral
Terlalu banyak update,1,Negatif
"So like this, meta, please fix the broken story, so please fix the story",1,Negatif
Mengapa guah kasih bintang satu ka ada cewe yg ngecet,1,Negatif
Gw ga bisa buat stiker anjyyy,1,Negatif
"Kenapa ya wa sekarang gk bisa kirim no ke wa orang dan masukkan no orang ke wa kita, padahal berkali-kali download tetap begitu bantu dong, WhatsApp saya berubah.",3,Netral
Pas beralih akun toba tiba akun 1 kehapus njiir,3,Netral
Sekarang Wa jadi agen VCS,1,Negatif
000ñb...y,3,Netral
whatsapp sering spam kartu lama bikin gak nyaman,1,Negatif
"saat digunakan telpon suara selalu putus putus, notif juga sering tidak muncul, begitu pula notif telpon masuk tidak muncul, padahal sinyal bagus dan menggunakan wifi, harus membuka aplikasi terlebih dahulu agar notifikasi bisa masuk",1,Negatif
Hapus aja fitur sekali lihat itu ga guna blas,1,Negatif
"Terimakasih WhatsApp sudah tambahkan sheet grup, tetapi masih ada sheet yang kurang yaitu sheet personal, untuk mengetahui siapa yang chat pribadi dengan kita, mohon kiranya ada update terbaru kedepannya",2,Negatif
I give 1 star on WA because wa error Batuulaya basecamp phone is always out. Alone And also people come in and I go out myself. please allow it,1,Negatif
Bagus,3,Netral
Aplikasi jelek,1,Negatif
Yaelah anjjjj wa mod emang uda ga bisa cuma backup data anjjjj masa perkara mencet jangan pernah cadangkan chat langsung ilang gitu aja backup data nya,1,Negatif
Baguss bgt tapiii knpa yah wa saya ke blokir semua dan udah di buka malah ke blokir lagi ada mslh apa gmnaa,1,Negatif
"Makin aneh "" WhatsApp sekarang masak tiba-tiba kek di Ben gitu wa ku ada"" aja",1,Negatif
Tidak bisa milih custom interface. Akan sangat jelek menyamakan tampilan dg versi iphone. Terlebih lagi UI yang terkesan males,1,Negatif
"Sekarang kok wa banyak bug sama sering error?? Padahal selalu update,bersihin cache,penyimpanan juga masih ada banyak. Selain itu juga setiap bikin sw vidio/foto pasti yg tadinya HD jadi ga HD.",1,Negatif
"woii samlekom. tolong admin WhatsApp, balikin emot vesmett kuningnya yaaa, tolong banget minta tolong balikin emot vesmet kuning, jangan biru gitu jelek. ceweku maunya vesmet yang kuningg, bukan biru jelek. nanti kalo sudah balikin jadi kuning aku ratt 5 bintang, oke trima suwun WhatsApp",1,Negatif
Great. Excellent. Good!!!,2,Negatif
"Tidak Bisa dicadangkan, gagal Tidak ada solusi",1,Negatif
"Apaan ji apk ngelag mulu padahal jaringan bagus,",1,Negatif
Sw jadi burik gak jelas,1,Negatif
